#,ðŸ’­ Title,ðŸ’¬,ðŸ‘¥,ðŸ™‹ Last editor,ðŸ•’ (UTC)
1,Max upload size has increased to 5 GiB,6,4,Bawolff,2024-02-22 22:45
2,TIFF size on LoC,5,3,Yann,2024-02-22 15:33
3,Large but corrupted vs small but good,5,4,RZuo,2024-02-23 08:26
4,Rename request declined,9,6,Sm faysal,2024-02-23 01:39
5,Why doesn't commons have a mass message sender user right?,2,2,GPSLeo,2024-02-21 20:00
6,Scammers using military pics from Wikipedia to scam women out of their money,2,2,Jarekt,2024-02-22 04:48
7,Photo challenge December results,3,3,Pigsonthewing,2024-02-22 14:37
8,The way to upload images via Flickr is completely broken,5,4,Samwilson,2024-02-24 02:28
9,Update Wikimedia Commons' default markup for 'Use this image',2,2,Bjh21,2024-02-22 18:58
10,Fusion,1,1,Io Herodotus,2024-02-22 15:26
11,Template:NKC,3,3,Pigsonthewing,2024-02-24 17:00
12,Bulk category renames,6,3,Heroldicas,2024-02-25 20:33
13,Huge amount of problematic name categories,1,1,StarTrekker,2024-02-24 22:39
14,Car identification?,3,3,From Hill To Shore,2024-02-25 15:53
15,Trains that run on roads,3,2,Sbb1413,2024-02-25 16:00
16,"Can I make categories for characters in my own art, or similar",3,3,Adamant1,2024-02-26 13:59
17,Disappearing of sound in video files,1,1,Sneeuwschaap,2024-02-25 19:46
18,Local knowledge of Bradford?,3,3,HyperGaruda,2024-02-27 06:58
19,Renaming,1,1,Richardkiwi,2024-02-27 20:37
20,{{Do not translate}}Â ?,1,1,Yug,2024-02-27 13:03
21,Diana Sperling paintings,1,1,ThePinkShoes,2024-02-27 14:50
22,Prize book plates,2,2,Broichmore,2024-02-28 06:21
23,Wiki Loves Monuments in Italy: new note on authorizations liability,1,1,Paolo Casagrande (WMIT),2024-02-28 09:53
